Filled container:
0: Coorinates (848, 1) - 1
1: Coorinates (594, 1) - 1
2: Coorinates (193, 1) - 1
3: Coorinates (681, 2) - 2
4: Coorinates (810, 2) - 2
5: Coorinates (624, 2) - 2
6: Coorinates (721, 2) - 2
7: Coorinates (221, 3) - 3
8: Coorinates (615, 3) - 3
9: Coorinates (76, 3) - 3
10: Coorinates (726, 3) - 3
11: Coorinates (817, 4) - 4
12: Coorinates (290, 4) - 4
13: Coorinates (100, 4) - 4
14: Coorinates (15, 5) - 5
15: Coorinates (459, 5) - 5
16: Coorinates (53, 5) - 5
17: Coorinates (570, 6) - 6
18: Coorinates (326, 6) - 6
19: Coorinates (852, 6) - 6
20: Coorinates (877, 6) - 6
21: Coorinates (681, 6) - 6
22: Coorinates (584, 6) - 6
23: Coorinates (848, 7) - 7
24: Coorinates (609, 7) - 7
25: Coorinates (278, 7) - 7
26: Coorinates (478, 7) - 7
27: Coorinates (857, 8) - 8
28: Coorinates (983, 8) - 8
29: Coorinates (989, 8) - 8
30: Coorinates (201, 8) - 8
31: Coorinates (949, 9) - 9
32: Coorinates (211, 9) - 9
33: Coorinates (93, 9) - 9
34: Coorinates (658, 9) - 9
35: Coorinates (387, 9) - 9
36: Coorinates (345, 10) - 10
37: Coorinates (821, 10) - 10
38: Coorinates (352, 10) - 10
39: Coorinates (698, 11) - 11
40: Coorinates (587, 12) - 12
41: Coorinates (28, 12) - 12
42: Coorinates (869, 12) - 12
43: Coorinates (57, 12) - 12
44: Coorinates (783, 12) - 12
45: Coorinates (603, 12) - 12
46: Coorinates (41, 12) - 12
47: Coorinates (346, 13) - 13
48: Coorinates (441, 13) - 13
49: Coorinates (96, 13) - 13
50: Coorinates (440, 13) - 13
51: Coorinates (166, 13) - 13
52: Coorinates (98, 13) - 13
53: Coorinates (882, 13) - 13
54: Coorinates (883, 13) - 13
55: Coorinates (246, 14) - 14
56: Coorinates (521, 14) - 14
57: Coorinates (717, 14) - 14
58: Coorinates (910, 14) - 14
59: Coorinates (848, 14) - 14
60: Complex number (20, 1) - 14
61: Coorinates (321, 14) - 14
62: Coorinates (468, 14) - 14
63: Complex number (3, 20) - 14
64: Coorinates (609, 15) - 15
65: Coorinates (617, 16) - 16
66: Coorinates (796, 16) - 16
67: Coorinates (908, 16) - 16
68: Coorinates (825, 16) - 16
69: Coorinates (459, 16) - 16
70: Coorinates (417, 16) - 16
71: Coorinates (764, 17) - 17
72: Coorinates (142, 17) - 17
73: Coorinates (524, 17) - 17
74: Complex number (4, 24) - 17
75: Complex number (4, 24) - 17
76: Coorinates (253, 17) - 17
77: Coorinates (678, 17) - 17
78: Coorinates (471, 18) - 18
